Sample,CRCR,GAGA,HYHY,CDRPOA,CDYAGL,CDYSTA,CDYTHA,CDYTHL,CELDUL,CELDUA,CELHEL,CELHEA,CELMIA,CELMIL,CELNAA,CELNEA,CELNEL,CGYGYL,CHAPEA,CHAPEL,CHYBEL,CHYHYL,CHYTRA,CHYTRL,CHYPAL,CLULUA,CLULUL,CPSPSL,DECDAD,DCEATL,DCECEL,DCESPP,DCHIRL,DCHIRP,DCUANL,DCUCUL,DCUCSL,DCUURL,DCUSPP,DDIDIL,DDISPP,DEMHEL,DEMMEL,DEMSPP,DEPSEL,DPSMAL,DPSSPP,DSISPL,DSISPP,DSTMYL,DSTSPP,DTAHYL,DTISPP,EBAACL,EBAAPL,EBAABL,EBABAL,EBABTL,EBACAL,EBACBL,EBACEL,EBACLL,EBAFAL,EBAPAL,ECACAL,EEPEPL,EEPSEL,EHEEOL,EHELEL,EHERHL,EISISL,ELEASL,ELELEL,ELETRL,ELEPAL,ELETHL,ELETVL,GCYCOR,GLYMSP,GPHYSP,GPLFER,HBEABA,HCOGRX,HCOPAX,HCOTRC,HGEAQU,HGEGER,HGEMET,HGETRE,HHYHYD,HMAMAC,HMEMES,HNAAMB,HNERAN,HNOBUE,HNONOT,HVEMIC,HVERHA,LCRELL,LCRPEL,MCOCOL,OAEANX,OCAHET,OCOARG,OCOCEN,OCOISC,OGOERP,OGOPRO,OLEARC,OLIBRC,OLIPAL,PCAMES,PPEISO,TBREOL,TCAPHL,TGLPCL,TGLSPP,THEHEL,THYCHL,THYHYL,THYSML,THYPUP,THYDTL,THYHYLP,THYLEL,THYMNL,THYMEL,THYOCL,THYOXL,THYSPP,TLENCL,TLEOEL,TLESPP,TLILIL,TODMAL,TPHCHL,TPOPOL,TPOPYL
S18_BFN5,0,153,0,0,0,0,0,0,0,3,0,3,42,72,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,156,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,24,21,0,3,0,9,96,339,213,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,6,0,0,0,0,0,13,0,0,6,0,0,6,0,3,0,0,30,0,0,0,0,0,3,0,0,0,0,18,3,0,0,0,0,0
S18_CHR1,0,0,0,0,0,0,0,0,0,0,0,0,7.5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,442.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,1020,0,0,75,0,0,0,0,7.5,727.5,0,0,30,0,0,0,0,0,22.5,405,22.5,0,0,0,67.5,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,30,45,0,165,0,0,0,52.5,0,0,0,0,0,0,0,0,0,0,0
S18_CHR2,0,0,0,0,0,0,0,0,0,0,0,0,10,70,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,720,0,0,70,10,0,0,0,50,600,0,0,40,0,0,0,0,0,20,360,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,10,20,0,130,0,0,0,70,0,0,50,0,0,0,0,0,0,0,0
S18_CHR5,0,0,0,0,0,0,0,0,0,0,0,0,6,42,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,6,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,168,0,0,57,0,0,3,0,15,492,0,0,13,9,0,0,0,1,21,249,48,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,9,0,45,0,0,0,18,0,0,12,0,0,0,0,0,0,0,0
S18_CHP2,0,70,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,95,5,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,5,555,0,0,0,40,10,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,85,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S18_CHP3,0,27.3,14.7,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.5,46.2,56.7,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,157.5,178.5,2.1,0,0,14.7,4.2,0,0,0,0,0,14.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S18_CHP5,0,168,84,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,129,135,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,30,252,3,0,0,0,9,0,0,0,0,9,57,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
S18_CHN1,0,27,0,0,0,0,0,0,0,0,0,0,21,45,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,291,0,0,90,9,0,0,0,36,333,0,0,93,33,0,0,0,0,12,387,0,0,0,3,178,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,75,0,0,108,0,0,0,15,42,0,63,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0
S18_CHN2,0,34,1,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,64,2,0,0,0,0,0,0,0,2,0,0,0,0,0,17,0,0,0,1,0,161,0,0,96,0,0,2,0,8,564,0,1,71,14,0,0,0,1,9,229,13,0,0,0,155,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,1,0,0,22,0,0,119,0,0,0,3,18,0,68,0,0,0,16,0,0,2,0,1,0,0,0,0,0,0
S18_CHN3,0,25,0,0,0,0,0,0,0,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,215,0,0,100,0,0,0,0,5,280,0,0,115,40,0,5,0,0,40,330,10,0,0,0,100,0,5,20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,25,0,0,55,0,0,0,10,95,0,30,0,0,0,35,0,0,5,0,0,0,0,0,0,0,0
