Sample,Site,Hab,HabSeason,order,micro.season,Season,flw_avg,flw_var,dpth_avg,Sand,VryFnGvl,FineGvl,MedGvl,CrsGrvl,VyCrsGvl,SmCble,LgCble,SmBlder,MedBldr,LrgBldr
S18_BFR3,Beasley Flats,Riffle,Riffle Spring,Riffle Spring,4,1,0.64,0.11222,26.2,4,2,5,10,5,11,23,23,15,2,0
S18_BFP1,Beasley Flats,Pool,Pool Spring,Pool Spring,5,1,0.01,0.00033,49,71,4,2,1,2,2,2,8,8,0,0
S18_BFP2,Beasley Flats,Pool,Pool Spring,Pool Spring,5,1,0.01,0.00033,49,71,4,2,1,2,2,2,8,8,0,0
S18_BFP4,Beasley Flats,Pool,Pool Spring,Pool Spring,5,1,0.01,0.00033,49,71,4,2,1,2,2,2,8,8,0,0
S18_BFN1,Beasley Flats,Run,Run Spring,Run Spring,6,1,0.55,0.03292,73.2,5,2,6,4,3,5,24,39,12,0,0
S18_BFN4,Beasley Flats,Run,Run Spring,Run Spring,6,1,0.55,0.03292,73.2,5,2,6,4,3,5,24,39,12,0,0
S18_BFN5,Beasley Flats,Run,Run Spring,Run Spring,6,1,0.55,0.03292,73.2,5,2,6,4,3,5,24,39,12,0,0
S18_CHR1,Childs,Riffle,Riffle Spring,Riffle Spring,4,1,0.55,0.13821,35.7,0,0,3,5,6,5,8,26,29,17,1
S18_CHR2,Childs,Riffle,Riffle Spring,Riffle Spring,4,1,0.55,0.13821,35.7,0,0,3,5,6,5,8,26,29,17,1
S18_CHR5,Childs,Riffle,Riffle Spring,Riffle Spring,4,1,0.55,0.13821,35.7,0,0,3,5,6,5,8,26,29,17,1
S18_CHP2,Childs,Pool,Pool Spring,Pool Spring,5,1,0,0.00003,30.4,63,8,12,10,2,3,1,1,0,0,0
S18_CHP3,Childs,Pool,Pool Spring,Pool Spring,5,1,0,0.00003,30.4,63,8,12,10,2,3,1,1,0,0,0
S18_CHP5,Childs,Pool,Pool Spring,Pool Spring,5,1,0,0.00003,30.4,63,8,12,10,2,3,1,1,0,0,0
S18_CHN1,Childs,Run,Run Spring,Run Spring,6,1,0.77,0.02411,69.7,0,3,2,7,21,29,16,12,9,1,0
S18_CHN2,Childs,Run,Run Spring,Run Spring,6,1,0.77,0.02411,69.7,0,3,2,7,21,29,16,12,9,1,0
S18_CHN3,Childs,Run,Run Spring,Run Spring,6,1,0.77,0.02411,69.7,0,3,2,7,21,29,16,12,9,1,0
S18_SBR1,Sheep Bridge,Riffle,Riffle Spring,Riffle Spring,4,1,0.6,0.13778,35.9,0,1,2,2,2,4,17,27,30,13,2
S18_SBR2,Sheep Bridge,Riffle,Riffle Spring,Riffle Spring,4,1,0.6,0.13778,35.9,0,1,2,2,2,4,17,27,30,13,2
S18_SBR5,Sheep Bridge,Riffle,Riffle Spring,Riffle Spring,4,1,0.6,0.13778,35.9,0,1,2,2,2,4,17,27,30,13,2
S18_SBP1,Sheep Bridge,Pool,Pool Spring,Pool Spring,5,1,0.02,0.00041,63.5,32,5,5,9,6,3,13,20,8,0,0
S18_SBP3,Sheep Bridge,Pool,Pool Spring,Pool Spring,5,1,0.02,0.00041,63.5,32,5,5,9,6,3,13,20,8,0,0
S18_SBP4,Sheep Bridge,Pool,Pool Spring,Pool Spring,5,1,0.02,0.00041,63.5,32,5,5,9,6,3,13,20,8,0,0
S18_SBN1,Sheep Bridge,Run,Run Spring,Run Spring,6,1,0.32,0.00145,64.7,12,10,10,3,8,1,16,30,10,0,0
S18_SBN3,Sheep Bridge,Run,Run Spring,Run Spring,6,1,0.32,0.00145,64.7,12,10,10,3,8,1,16,30,10,0,0
S18_SBN5,Sheep Bridge,Run,Run Spring,Run Spring,6,1,0.32,0.00145,64.7,12,10,10,3,8,1,16,30,10,0,0
F18_BFR2,Beasley Flats,Riffle,Riffle Fall,Riffle Fall,7,0,0.66,0.07417,29.95,2,2,4,3,10,3,24,25,24,6,0
F18_BFR3,Beasley Flats,Riffle,Riffle Fall,Riffle Fall,7,0,0.66,0.07417,29.95,2,2,4,3,10,3,24,25,24,6,0
F18_BFR5,Beasley Flats,Riffle,Riffle Fall,Riffle Fall,7,0,0.66,0.07417,29.95,2,2,4,3,10,3,24,25,24,6,0
F18_BFP2,Beasley Flats,Pool,Pool Fall,Pool Fall,8,0,0.01,0.0003,50.45,93,0,0,0,0,0,2,4,2,0,0
F18_BFP3,Beasley Flats,Pool,Pool Fall,Pool Fall,8,0,0.01,0.0003,50.45,93,0,0,0,0,0,2,4,2,0,0
F18_BFP4,Beasley Flats,Pool,Pool Fall,Pool Fall,8,0,0.01,0.0003,50.45,93,0,0,0,0,0,2,4,2,0,0
F18_BFN3,Beasley Flats,Run,Run Fall,Run Fall,9,0,0.77,0.02781,65.75,3,2,2,4,4,4,23,46,15,0,0
F18_BFN4,Beasley Flats,Run,Run Fall,Run Fall,9,0,0.77,0.02781,65.75,3,2,2,4,4,4,23,46,15,0,0
F18_BFN5,Beasley Flats,Run,Run Fall,Run Fall,9,0,0.77,0.02781,65.75,3,2,2,4,4,4,23,46,15,0,0
F18_CHR1,Childs,Riffle,Riffle Fall,Riffle Fall,7,0,0.69,0.10804,40.5,2,2,3,3,6,3,4,27,41,11,1
F18_CHR4,Childs,Riffle,Riffle Fall,Riffle Fall,7,0,0.69,0.10804,40.5,2,2,3,3,6,3,4,27,41,11,1
F18_CHR5,Childs,Riffle,Riffle Fall,Riffle Fall,7,0,0.69,0.10804,40.5,2,2,3,3,6,3,4,27,41,11,1
F18_CHP3,Childs,Pool,Pool Fall,Pool Fall,8,0,0.02,0.0001,35.85,83,6,6,3,3,0,1,0,1,0,0
